%% LaTeX2e file `div_data_2_512x512D8L1.0I0.0.csv'
%% generated by the `filecontents' environment
%% from source `diplominf' on 2016/10/17.
%%
a,p,r,g,b,m
90,17.7946,0.683441,0.683441,0.659473,0.675452
90,18.0038,0.687285,0.687285,0.660666,0.678412
90,18.1363,0.700136,0.700136,0.677719,0.692664
90,18.4064,0.726745,0.726745,0.709397,0.720962
90,17.0966,0.712783,0.712783,0.698136,0.707901
90,15.2844,0.659428,0.659428,0.643495,0.654117
90,14.3246,0.640273,0.640273,0.622212,0.634253
90,14.044,0.670083,0.670083,0.653166,0.664444
90,15.1054,0.747691,0.747691,0.735436,0.743606
90,15.6972,0.754235,0.754235,0.743651,0.750707
90,15.8601,0.698699,0.698704,0.684972,0.694125
90,17.2338,0.692036,0.692036,0.67524,0.686437
85,17.628,0.67985,0.67985,0.655973,0.671891
85,17.8901,0.68885,0.68885,0.662654,0.680118
85,17.9854,0.700051,0.700051,0.677596,0.692566
85,18.2435,0.725928,0.725928,0.708524,0.720127
85,17.0006,0.71233,0.71233,0.697941,0.707534
85,15.1656,0.663518,0.663518,0.647938,0.658325
85,14.075,0.640267,0.640267,0.623477,0.63467
85,13.7711,0.667328,0.667328,0.650719,0.661792
85,14.9011,0.74356,0.74356,0.730751,0.73929
85,15.622,0.751375,0.751375,0.740169,0.74764
85,15.7925,0.698094,0.698094,0.684699,0.693629
85,17.0289,0.690142,0.690142,0.673031,0.684438
80,17.5034,0.679383,0.679383,0.655012,0.671259
80,17.7908,0.690289,0.690289,0.664034,0.681537
80,17.8072,0.69954,0.69954,0.677501,0.692194
80,18.0905,0.725285,0.725285,0.708209,0.719593
80,16.817,0.709085,0.709085,0.695233,0.704468
80,14.9643,0.661847,0.661847,0.646839,0.656845
80,13.798,0.639639,0.639639,0.623357,0.634212
80,13.5462,0.664575,0.664575,0.648421,0.65919
80,14.7104,0.737625,0.737625,0.724578,0.733276
80,15.5719,0.748941,0.748941,0.73729,0.745057
80,15.7189,0.697895,0.697895,0.683974,0.693255
80,16.9109,0.689682,0.689682,0.672658,0.684007
