%% LaTeX2e file `div_data_4_512x512D10L0.0I0.0A0.0J0.0pre.csv'
%% generated by the `filecontents' environment
%% from source `diplominf' on 2016/10/27.
%%
a,p,r,g,b,m
10,32.9345,0.97753,0.976784,0.979231,0.977849
10,32.379,0.973824,0.971493,0.973185,0.972834
10,30.3777,0.966546,0.963642,0.964337,0.964842
10,28.4694,0.956693,0.955084,0.955375,0.955717
10,27.1288,0.948478,0.946788,0.947906,0.947724
10,24.6513,0.938079,0.937098,0.938553,0.93791
10,21.9151,0.925687,0.92496,0.927317,0.925988
10,21.1481,0.921896,0.920472,0.923971,0.922113
10,21.7165,0.926257,0.925567,0.929953,0.927259
10,23.2315,0.937408,0.936567,0.940867,0.938281
10,26.3052,0.95497,0.954387,0.959562,0.956306
10,30.3903,0.972427,0.970524,0.975598,0.97285
9,34.118,0.980988,0.979858,0.981941,0.980929
9,33.206,0.977556,0.97538,0.976673,0.976537
9,30.6743,0.96781,0.965666,0.966723,0.966733
9,28.7822,0.958901,0.957626,0.958401,0.958309
9,27.4213,0.950942,0.949466,0.95054,0.950316
9,25.0093,0.94122,0.939928,0.941441,0.940863
9,22.4023,0.930371,0.929817,0.932395,0.930861
9,21.5474,0.926602,0.925367,0.929077,0.927015
9,22.0762,0.931075,0.930083,0.934476,0.931878
9,23.5526,0.940952,0.939705,0.944287,0.941648
9,26.454,0.957246,0.956163,0.961244,0.958218
9,30.4046,0.97399,0.972381,0.977235,0.974535
8,34.7416,0.982573,0.982191,0.98384,0.982868
8,33.8355,0.979479,0.978158,0.979145,0.978927
8,31.2784,0.97133,0.969144,0.969247,0.969907
8,29.0772,0.961636,0.960214,0.961274,0.961041
8,27.7172,0.953664,0.95239,0.953638,0.953231
8,25.4036,0.94503,0.943688,0.945395,0.944704
8,22.9154,0.935412,0.934539,0.937139,0.935696
8,22.0129,0.931979,0.930694,0.934427,0.932367
8,22.4941,0.935642,0.934715,0.938775,0.936378
8,23.9131,0.945052,0.943899,0.948112,0.945688
8,26.7701,0.960781,0.958945,0.963862,0.961196
8,30.2243,0.975405,0.973382,0.978225,0.975671
7,35.7603,0.98598,0.985262,0.987137,0.986126
7,33.8703,0.980767,0.978847,0.979847,0.97982
7,31.4963,0.973041,0.970959,0.971227,0.971742
7,29.4481,0.964506,0.963204,0.964453,0.964054
7,28.0407,0.956542,0.955016,0.956524,0.956027
7,25.8077,0.948189,0.946793,0.948393,0.947792
7,23.397,0.939183,0.937974,0.94063,0.939262
7,22.5573,0.937449,0.936296,0.940014,0.937919
7,22.9165,0.940804,0.939533,0.94361,0.941316
7,24.2823,0.949517,0.948144,0.951764,0.949808
7,26.9821,0.963797,0.961896,0.966258,0.963984
7,30.4086,0.978478,0.976636,0.980348,0.978487
6,39.0889,0.993555,0.992876,0.994347,0.993593
6,34.3509,0.982823,0.980558,0.980843,0.981408
6,32.0215,0.974961,0.973629,0.973868,0.974153
6,27.0648,0.959031,0.956826,0.95812,0.957992
6,28.3601,0.959116,0.957926,0.959501,0.958848
6,26.2812,0.951832,0.950587,0.952048,0.951489
6,22.8004,0.937137,0.935237,0.93804,0.936805
6,23.1578,0.942306,0.940884,0.94488,0.94269
6,23.4039,0.94508,0.943906,0.947924,0.945637
6,24.6211,0.952835,0.950968,0.954581,0.952795
6,27.0877,0.96605,0.963307,0.967894,0.965751
6,30.3175,0.978122,0.975931,0.979746,0.977933
