%% LaTeX2e file `div_data_mean_2_512x512D8L1.0I1.0.csv'
%% generated by the `filecontents' environment
%% from source `diplominf' on 2016/10/26.
%%
a,p,r,g,b,m
90,16.5218,0.696551,0.696552,0.678558,0.690554
85,16.2594,0.696746,0.696746,0.679316,0.690936
80,16.1065,0.695363,0.695363,0.678139,0.689622
75,15.97,0.693554,0.693554,0.676636,0.687914
70,15.8477,0.691238,0.691238,0.67417,0.685549
65,15.7645,0.690413,0.690413,0.673505,0.684777
60,15.7202,0.690931,0.690932,0.674369,0.685411
55,15.7301,0.693275,0.693275,0.676526,0.687692
50,15.7781,0.697181,0.697181,0.680812,0.691725
45,15.8852,0.70302,0.70302,0.687072,0.697704
40,16.0399,0.710377,0.710377,0.694632,0.705129
35,16.231,0.718937,0.718935,0.70363,0.713834
30,16.4632,0.72901,0.72901,0.714233,0.724084
25,16.757,0.740948,0.740948,0.727037,0.736311
20,17.1565,0.756453,0.756453,0.743749,0.752218
15,18.6385,0.779749,0.779749,0.76784,0.775779
