%% LaTeX2e file `div_duration_info_2_512x512D8L1.0I0.5.csv'
%% generated by the `filecontents' environment
%% from source `diplominf' on 2016/10/26.
%%
i,d,min,max,mean
0,0.17,0.055,0.22,0.104948
1,0.135,0.055,0.22,0.104948
2,0.115,0.055,0.22,0.104948
3,0.115,0.055,0.22,0.104948
4,0.1,0.055,0.22,0.104948
5,0.1,0.055,0.22,0.104948
6,0.175,0.055,0.22,0.104948
7,0.1,0.055,0.22,0.104948
8,0.095,0.055,0.22,0.104948
9,0.1,0.055,0.22,0.104948
10,0.095,0.055,0.22,0.104948
11,0.1,0.055,0.22,0.104948
12,0.1,0.055,0.22,0.104948
13,0.095,0.055,0.22,0.104948
14,0.1,0.055,0.22,0.104948
15,0.095,0.055,0.22,0.104948
16,0.11,0.055,0.22,0.104948
17,0.095,0.055,0.22,0.104948
18,0.1,0.055,0.22,0.104948
19,0.095,0.055,0.22,0.104948
20,0.1,0.055,0.22,0.104948
21,0.18,0.055,0.22,0.104948
22,0.095,0.055,0.22,0.104948
23,0.1,0.055,0.22,0.104948
24,0.095,0.055,0.22,0.104948
25,0.1,0.055,0.22,0.104948
26,0.18,0.055,0.22,0.104948
27,0.095,0.055,0.22,0.104948
28,0.095,0.055,0.22,0.104948
29,0.09,0.055,0.22,0.104948
30,0.105,0.055,0.22,0.104948
31,0.1,0.055,0.22,0.104948
32,0.1,0.055,0.22,0.104948
33,0.095,0.055,0.22,0.104948
34,0.1,0.055,0.22,0.104948
35,0.1,0.055,0.22,0.104948
36,0.185,0.055,0.22,0.104948
37,0.105,0.055,0.22,0.104948
38,0.095,0.055,0.22,0.104948
39,0.095,0.055,0.22,0.104948
40,0.1,0.055,0.22,0.104948
41,0.15,0.055,0.22,0.104948
42,0.1,0.055,0.22,0.104948
43,0.1,0.055,0.22,0.104948
44,0.105,0.055,0.22,0.104948
45,0.105,0.055,0.22,0.104948
46,0.105,0.055,0.22,0.104948
47,0.1,0.055,0.22,0.104948
48,0.095,0.055,0.22,0.104948
49,0.09,0.055,0.22,0.104948
50,0.1,0.055,0.22,0.104948
51,0.1,0.055,0.22,0.104948
52,0.095,0.055,0.22,0.104948
53,0.095,0.055,0.22,0.104948
54,0.095,0.055,0.22,0.104948
55,0.095,0.055,0.22,0.104948
56,0.1,0.055,0.22,0.104948
57,0.095,0.055,0.22,0.104948
58,0.09,0.055,0.22,0.104948
59,0.095,0.055,0.22,0.104948
60,0.1,0.055,0.22,0.104948
61,0.15,0.055,0.22,0.104948
62,0.095,0.055,0.22,0.104948
63,0.095,0.055,0.22,0.104948
64,0.09,0.055,0.22,0.104948
65,0.095,0.055,0.22,0.104948
66,0.17,0.055,0.22,0.104948
67,0.1,0.055,0.22,0.104948
68,0.095,0.055,0.22,0.104948
69,0.105,0.055,0.22,0.104948
70,0.095,0.055,0.22,0.104948
71,0.1,0.055,0.22,0.104948
72,0.095,0.055,0.22,0.104948
73,0.1,0.055,0.22,0.104948
74,0.095,0.055,0.22,0.104948
75,0.095,0.055,0.22,0.104948
76,0.17,0.055,0.22,0.104948
77,0.095,0.055,0.22,0.104948
78,0.095,0.055,0.22,0.104948
79,0.095,0.055,0.22,0.104948
80,0.095,0.055,0.22,0.104948
81,0.185,0.055,0.22,0.104948
82,0.095,0.055,0.22,0.104948
83,0.095,0.055,0.22,0.104948
84,0.105,0.055,0.22,0.104948
85,0.11,0.055,0.22,0.104948
86,0.11,0.055,0.22,0.104948
87,0.095,0.055,0.22,0.104948
88,0.1,0.055,0.22,0.104948
89,0.1,0.055,0.22,0.104948
90,0.1,0.055,0.22,0.104948
91,0.1,0.055,0.22,0.104948
92,0.1,0.055,0.22,0.104948
93,0.09,0.055,0.22,0.104948
94,0.055,0.055,0.22,0.104948
95,0.1,0.055,0.22,0.104948
96,0.155,0.055,0.22,0.104948
97,0.09,0.055,0.22,0.104948
98,0.095,0.055,0.22,0.104948
99,0.095,0.055,0.22,0.104948
100,0.1,0.055,0.22,0.104948
101,0.13,0.055,0.22,0.104948
102,0.1,0.055,0.22,0.104948
103,0.095,0.055,0.22,0.104948
104,0.095,0.055,0.22,0.104948
105,0.095,0.055,0.22,0.104948
106,0.105,0.055,0.22,0.104948
107,0.095,0.055,0.22,0.104948
108,0.1,0.055,0.22,0.104948
109,0.1,0.055,0.22,0.104948
