%% LaTeX2e file `div_duration_info_4_512x512D10L0.0I0.0A0.0J0.0pre.csv'
%% generated by the `filecontents' environment
%% from source `diplominf' on 2016/10/24.
%%
i,d,min,max,mean
0,0.155,0.155,1.895,0.28625
1,0.28,0.155,1.895,0.28625
2,0.29,0.155,1.895,0.28625
3,0.305,0.155,1.895,0.28625
4,0.235,0.155,1.895,0.28625
5,0.315,0.155,1.895,0.28625
6,0.19,0.155,1.895,0.28625
7,0.27,0.155,1.895,0.28625
8,0.27,0.155,1.895,0.28625
9,0.26,0.155,1.895,0.28625
10,0.21,0.155,1.895,0.28625
11,0.24,0.155,1.895,0.28625
12,0.24,0.155,1.895,0.28625
13,0.29,0.155,1.895,0.28625
14,0.19,0.155,1.895,0.28625
15,0.2,0.155,1.895,0.28625
16,0.265,0.155,1.895,0.28625
17,0.205,0.155,1.895,0.28625
18,0.2,0.155,1.895,0.28625
19,0.24,0.155,1.895,0.28625
20,0.21,0.155,1.895,0.28625
21,0.18,0.155,1.895,0.28625
22,0.26,0.155,1.895,0.28625
23,0.215,0.155,1.895,0.28625
24,0.175,0.155,1.895,0.28625
25,0.29,0.155,1.895,0.28625
26,0.185,0.155,1.895,0.28625
27,0.185,0.155,1.895,0.28625
28,0.245,0.155,1.895,0.28625
29,0.3,0.155,1.895,0.28625
30,0.68,0.155,1.895,0.28625
31,0.305,0.155,1.895,0.28625
32,0.28,0.155,1.895,0.28625
33,0.18,0.155,1.895,0.28625
34,0.235,0.155,1.895,0.28625
35,0.315,0.155,1.895,0.28625
36,0.5,0.155,1.895,0.28625
37,0.34,0.155,1.895,0.28625
38,0.38,0.155,1.895,0.28625
39,0.2,0.155,1.895,0.28625
40,0.225,0.155,1.895,0.28625
41,0.24,0.155,1.895,0.28625
42,0.28,0.155,1.895,0.28625
43,1.895,0.155,1.895,0.28625
44,0.195,0.155,1.895,0.28625
45,0.295,0.155,1.895,0.28625
46,0.275,0.155,1.895,0.28625
47,0.25,0.155,1.895,0.28625
48,0.27,0.155,1.895,0.28625
49,0.25,0.155,1.895,0.28625
50,0.255,0.155,1.895,0.28625
51,0.24,0.155,1.895,0.28625
52,0.255,0.155,1.895,0.28625
53,0.23,0.155,1.895,0.28625
54,0.265,0.155,1.895,0.28625
55,0.26,0.155,1.895,0.28625
56,0.24,0.155,1.895,0.28625
57,0.245,0.155,1.895,0.28625
58,0.245,0.155,1.895,0.28625
59,0.255,0.155,1.895,0.28625
